id,trackGenre,trackGenreLabel,title,artist,popularity,valence,energy,quadrant,spotifyId,youtubeVideoId,youtubeUrl,youtubeSearchUrl
spotify-6sFjQ6Gb5JegliuzYR44OJ,chicago-house,Chicago House,Runaway,Pal Joey,13,0.872,0.924,happy,6sFjQ6Gb5JegliuzYR44OJ,,,https://www.youtube.com/results?search_query=Pal%20Joey%20Runaway%20official%20audio
spotify-2fjnkB5q2NfphBknvUH25d,chicago-house,Chicago House,SH-101,Robert Hood,13,0.677,0.854,happy,2fjnkB5q2NfphBknvUH25d,,,https://www.youtube.com/results?search_query=Robert%20Hood%20SH-101%20official%20audio
spotify-2VLyYc2ytsYVOkP963joVX,chicago-house,Chicago House,Sleep Cycle,Robert Hood,13,0.562,0.73,happy,2VLyYc2ytsYVOkP963joVX,,,https://www.youtube.com/results?search_query=Robert%20Hood%20Sleep%20Cycle%20official%20audio
spotify-5M4NzskhOnjs5q1osSSBj2,chicago-house,Chicago House,Sometimes I Feel Like,"Chez Damier, Ron Trent",13,0.607,0.645,happy,5M4NzskhOnjs5q1osSSBj2,,,https://www.youtube.com/results?search_query=Chez%20Damier%2C%20Ron%20Trent%20Sometimes%20I%20Feel%20Like%20official%20audio
spotify-10MaP5YHR8014q2wq6SHlW,chicago-house,Chicago House,Sunday Morning,Alinka,13,0.284,0.729,tense,10MaP5YHR8014q2wq6SHlW,,,https://www.youtube.com/results?search_query=Alinka%20Sunday%20Morning%20official%20audio
spotify-3mtZAbboawXvB1x7KnI5Hh,chicago-house,Chicago House,Waterfall,Mr. Fingers,13,0.811,0.451,relaxed,3mtZAbboawXvB1x7KnI5Hh,,,https://www.youtube.com/results?search_query=Mr.%20Fingers%20Waterfall%20official%20audio
spotify-2gIMS2o1qqgK7mO6z7oPJB,chicago-house,Chicago House,You Make Me Say Do Be Do,Paul Johnson,13,0.37,0.832,tense,2gIMS2o1qqgK7mO6z7oPJB,,,https://www.youtube.com/results?search_query=Paul%20Johnson%20You%20Make%20Me%20Say%20Do%20Be%20Do%20official%20audio
spotify-1ajmDbaiiibRPxiXUSMGlg,classical,Classical,"Piano Sonata No. 8 in A Minor, K. 310: III. Presto","Wolfgang Amadeus Mozart, Mao Fujita",13,0.585,0.159,relaxed,1ajmDbaiiibRPxiXUSMGlg,,,https://www.youtube.com/results?search_query=Wolfgang%20Amadeus%20Mozart%2C%20Mao%20Fujita%20Piano%20Sonata%20No.%208%20in%20A%20Minor%2C%20K.%20310%3A%20III.%20Presto%20official%20audio
spotify-4Rfze8E9xn6DfHDLpoh2m5,detroit-techno,Detroit Techno,Climax,"ONYVAA, Mattia Trani",13,0.316,0.948,tense,4Rfze8E9xn6DfHDLpoh2m5,,,https://www.youtube.com/results?search_query=ONYVAA%2C%20Mattia%20Trani%20Climax%20official%20audio
spotify-4mPbIYoHfWnFqasx9x2AG4,detroit-techno,Detroit Techno,Mars Garden,"Juan Atkins, Moritz Von Oswald",13,0.241,0.172,sad_low,4mPbIYoHfWnFqasx9x2AG4,,,https://www.youtube.com/results?search_query=Juan%20Atkins%2C%20Moritz%20Von%20Oswald%20Mars%20Garden%20official%20audio
spotify-1FjRFW06sFavpmXi7nQI5n,detroit-techno,Detroit Techno,Soul of the Sea,Drexciya,13,0.192,0.575,tense,1FjRFW06sFavpmXi7nQI5n,,,https://www.youtube.com/results?search_query=Drexciya%20Soul%20of%20the%20Sea%20official%20audio
spotify-6OEdPvDY90N7jxb2KslTB8,detroit-techno,Detroit Techno,Televised Green Smoke,Carl Craig,13,0.741,0.448,relaxed,6OEdPvDY90N7jxb2KslTB8,,,https://www.youtube.com/results?search_query=Carl%20Craig%20Televised%20Green%20Smoke%20official%20audio
spotify-3lbcu9riQGGo7P4lcxuzKQ,detroit-techno,Detroit Techno,Un Common,Orlando Voorn,13,0.596,0.608,happy,3lbcu9riQGGo7P4lcxuzKQ,,,https://www.youtube.com/results?search_query=Orlando%20Voorn%20Un%20Common%20official%20audio
spotify-65yY9P2b9U7s1igLgJWt99,french,French,Bosworth,Alexandre Desplat,13,0.036,0.2,sad_low,65yY9P2b9U7s1igLgJWt99,,,https://www.youtube.com/results?search_query=Alexandre%20Desplat%20Bosworth%20official%20audio
spotify-3I3HitmtLA7kpNWDW1MfGo,french,French,New Street,Alexandre Desplat,13,0.0745,0.0986,sad_low,3I3HitmtLA7kpNWDW1MfGo,,,https://www.youtube.com/results?search_query=Alexandre%20Desplat%20New%20Street%20official%20audio
