id,title,artist,album,quadrant,valence,energy,durationMs,analysisConfidence,categorySource,audioUrl,downloadUrl,externalUrl,licenseUrl,source
commons-64738813,Darkest Child,Kevin MacLeod,Incompetech Instrumental Essentials,tense,0.39,0.5,238681,0.51,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/f/fe/Darkest_Child_%28ISRC_USUAN1100783%29.mp3,https://upload.wikimedia.org/wikipedia/commons/f/fe/Darkest_Child_%28ISRC_USUAN1100783%29.mp3,https://commons.wikimedia.org/wiki/File:Darkest_Child_(ISRC_USUAN1100783).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-4,4 Ghosts I,Nine Inch Nails,Ghosts I-IV,sad_low,0.08,0.18,132960,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/04_Ghosts_I_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/04_Ghosts_I_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
commons-64736151,Local Forecast,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.59,0.5,165225,0.51,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/6/60/Local_Forecast_%28ISRC_USUAN1300010%29.mp3,https://upload.wikimedia.org/wikipedia/commons/6/60/Local_Forecast_%28ISRC_USUAN1300010%29.mp3,https://commons.wikimedia.org/wiki/File:Local_Forecast_(ISRC_USUAN1300010).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
commons-64738520,Airport Lounge,Kevin MacLeod,Incompetech Instrumental Essentials,relaxed,0.68,0.4,307670,0.63,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/0/05/Airport_Lounge_%28ISRC_USUAN1100806%29.mp3,https://upload.wikimedia.org/wikipedia/commons/0/05/Airport_Lounge_%28ISRC_USUAN1100806%29.mp3,https://commons.wikimedia.org/wiki/File:Airport_Lounge_(ISRC_USUAN1100806).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
commons-64731435,Thinking Music,Kevin MacLeod,Incompetech Instrumental Essentials,tense,0.39,0.5,195892,0.51,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/a/a2/Thinking_Music_%28ISRC_USUAN1600060%29.mp3,https://upload.wikimedia.org/wikipedia/commons/a/a2/Thinking_Music_%28ISRC_USUAN1600060%29.mp3,https://commons.wikimedia.org/wiki/File:Thinking_Music_(ISRC_USUAN1600060).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-7,7 Ghosts I,Nine Inch Nails,Ghosts I-IV,sad_low,0.08,0.18,120560,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/07_Ghosts_I_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/07_Ghosts_I_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
commons-64731628,Lobby Time,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.59,0.5,193202,0.51,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/e/e9/Lobby_Time_%28ISRC_USUAN1600054%29.mp3,https://upload.wikimedia.org/wikipedia/commons/e/e9/Lobby_Time_%28ISRC_USUAN1600054%29.mp3,https://commons.wikimedia.org/wiki/File:Lobby_Time_(ISRC_USUAN1600054).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-1,1 Ghosts I,Nine Inch Nails,Ghosts I-IV,relaxed,0.5,0.18,168780,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/01_Ghosts_I_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/01_Ghosts_I_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
commons-82878036,Severe Tire Damage,Kevin MacLeod,Incompetech Instrumental Essentials,tense,0.39,0.58,411951,0.57,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/c/c4/Kevin_MacLeod_-_Severe_Tire_Damage_%28cc-by%29_%28incompetech%29.ogg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Kevin_MacLeod_-_Severe_Tire_Damage_%28cc-by%29_%28incompetech%29.ogg,https://commons.wikimedia.org/wiki/File:Kevin_MacLeod_-_Severe_Tire_Damage_(cc-by)_(incompetech).ogg,https://creativecommons.org/licenses/by/4.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-8,8 Ghosts I,Nine Inch Nails,Ghosts I-IV,sad_low,0.08,0.18,176070,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/08_Ghosts_I_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/08_Ghosts_I_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
